#Release 14.7 - par P.20160913 (lin64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Sun Mar 22 23:53:19 2020

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       all_phase_map.ncd
#OUTPUT FILE:      all_phase_pad.csv
#PART TYPE:        xc6slx45t
#SPEED GRADE:      -3
#PACKAGE:          fgg484
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
N6,diff_phase_2<12>,IOB,IO_L23P_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
N7,diff_phase_2<13>,IOB,IO_L23N_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
N8,,,VCCAUX,,,,,,,,2.5,,,,
N9,,,GND,,,,,,,,,,,,
N10,,,VCCINT,,,,,,,,1.2,,,,
N11,,,GND,,,,,,,,,,,,
N12,,,VCCINT,,,,,,,,1.2,,,,
N13,,,GND,,,,,,,,,,,,
N14,,,VCCINT,,,,,,,,1.2,,,,
N15,,IOBS,IO_L58N_1,UNUSED,,1,,,,,,,,,
N16,,IOBM,IO_L60P_1,UNUSED,,1,,,,,,,,,
N17,,,GND,,,,,,,,,,,,
N18,,,VCCO_1,,,1,,,,,any******,,,,
N19,,IOBS,IO_L42N_GCLK6_TRDY1_M1LDM_1,UNUSED,,1,,,,,,,,,
N20,,IOBM,IO_L45P_A1_M1LDQS_1,UNUSED,,1,,,,,,,,,
N21,,,GND,,,,,,,,,,,,
N22,,IOBS,IO_L45N_A0_M1LDQSN_1,UNUSED,,1,,,,,,,,,
P1,diff_phase_4<3>,IOB,IO_L38N_M3DQ3_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
P2,diff_phase_4<2>,IOB,IO_L38P_M3DQ2_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
P3,diff_phase_4<10>,IOB,IO_L42P_GCLK25_TRDY2_M3UDM_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
P4,diff_phase_2<9>,IOB,IO_L9N_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
P5,diff_phase_2<8>,IOB,IO_L9P_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
P6,diff_phase_3<0>,IOB,IO_L25P_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
P7,diff_phase_3<1>,IOB,IO_L25N_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
P8,diff_phase_2<1>,IOB,IO_L1N_VREF_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
P9,,,VCCINT,,,,,,,,1.2,,,,
P10,,,GND,,,,,,,,,,,,
P11,,,VCCINT,,,,,,,,1.2,,,,
P12,,,GND,,,,,,,,,,,,
P13,,,VCCINT,,,,,,,,1.2,,,,
P14,,,GND,,,,,,,,,,,,
P15,,,NC,,,,,,,,,,,,
P16,,IOBS,IO_L60N_1,UNUSED,,1,,,,,,,,,
P17,,IOBM,IO_L71P_1,UNUSED,,1,,,,,,,,,
P18,,IOBS,IO_L71N_1,UNUSED,,1,,,,,,,,,
P19,,IOBM,IO_L53P_1,UNUSED,,1,,,,,,,,,
P20,,IOBM,IO_L42P_GCLK7_M1UDM_1,UNUSED,,1,,,,,,,,,
P21,,IOBM,IO_L46P_FCS_B_M1DQ2_1,UNUSED,,1,,,,,,,,,
P22,,IOBS,IO_L46N_FOE_B_M1DQ3_1,UNUSED,,1,,,,,,,,,
R1,diff_phase_4<1>,IOB,IO_L37N_M3DQ1_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
R2,,,VCCO_3,,,3,,,,,2.50,,,,
R3,diff_phase_4<0>,IOB,IO_L37P_M3DQ0_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
R4,diff_phase_3<3>,IOB,IO_L26N_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
R5,,,GND,,,,,,,,,,,,
R6,,,VCCAUX,,,,,,,,2.5,,,,
R7,diff_phase_2<0>,IOB,IO_L1P_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
R8,diff_phase_1<7>,IOB,IO_L59N_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
R9,diff_phase_1<6>,IOB,IO_L59P_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
R10,,,VCCAUX,,,,,,,,2.5,,,,
R11,rx4<0>,IOB,IO_L22P_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
R12,,,VCCAUX,,,,,,,,2.5,,,,
R13,rx1<12>,IOB,IO_L12P_D1_MISO2_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
R14,,,VCCINT,,,,,,,,1.2,,,,
R15,,IOBM,IO_L70P_1,UNUSED,,1,,,,,,,,,
R16,,IOBS,IO_L70N_1,UNUSED,,1,,,,,,,,,
R17,,IOBM,IO_L72P_1,UNUSED,,1,,,,,,,,,
R18,,,GND,,,,,,,,,,,,
R19,,IOBS,IO_L53N_VREF_1,UNUSED,,1,,,,,,,,,
R20,,IOBM,IO_L47P_FWE_B_M1DQ0_1,UNUSED,,1,,,,,,,,,
R21,,,VCCO_1,,,1,,,,,any******,,,,
R22,,IOBS,IO_L47N_LDC_M1DQ1_1,UNUSED,,1,,,,,,,,,
T1,diff_phase_3<15>,IOB,IO_L36N_M3DQ9_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
T2,diff_phase_3<14>,IOB,IO_L36P_M3DQ8_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
T3,diff_phase_3<2>,IOB,IO_L26P_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
T4,diff_phase_2<15>,IOB,IO_L24N_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
T5,diff_phase_2<5>,IOB,IO_L7N_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
T6,diff_phase_2<4>,IOB,IO_L7P_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
T7,reset,IOB,IO_L64P_D8_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
T8,diff_phase_1<2>,IOB,IO_L57P_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
T9,,,VCCO_2,,,2,,,,,2.50,,,,
T10,rx3<8>,IOB,IO_L46P_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
T11,rx4<1>,IOB,IO_L22N_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
T12,rx4<4>,IOB,IO_L29P_GCLK3_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
T13,,,VCCO_2,,,2,,,,,2.50,,,,
T14,rx1<13>,IOB,IO_L12N_D2_MISO3_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
T15,rx4<2>,IOB,IO_L23P_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
T16,,,NC,,,,,,,,,,,,
T17,,IOBS,IO_L72N_1,UNUSED,,1,,,,,,,,,
T18,,IOBS,IO_L73N_1,UNUSED,,1,,,,,,,,,
T19,,IOBM,IO_L73P_1,UNUSED,,1,,,,,,,,,
T20,,IOBS,IO_L59N_1,UNUSED,,1,,,,,,,,,
T21,,IOBM,IO_L48P_HDC_M1DQ8_1,UNUSED,,1,,,,,,,,,
T22,,IOBS,IO_L48N_M1DQ9_1,UNUSED,,1,,,,,,,,,
U1,diff_phase_3<13>,IOB,IO_L35N_M3DQ11_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
U2,,,GND,,,,,,,,,,,,
U3,diff_phase_3<12>,IOB,IO_L35P_M3DQ10_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
U4,diff_phase_2<14>,IOB,IO_L24P_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
U5,,,VCCO_3,,,3,,,,,2.50,,,,
U6,enable,IOB,IO_L64N_D9_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
U7,,,GND,,,,,,,,,,,,
U8,diff_phase_1<3>,IOB,IO_L57N_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
U9,diff_phase_1<0>,IOB,IO_L50P_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
U10,rx3<9>,IOB,IO_L46N_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
U11,,,VCCAUX,,,,,,,,2.5,,,,
U12,rx4<5>,IOB,IO_L29N_GCLK2_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
U13,rx2<5>,IOB,IO_L16N_VREF_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
U14,rx2<4>,IOB,IO_L16P_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
U15,rx4<3>,IOB,IO_L23N_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
U16,rx1<6>,IOB,IO_L4P_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
U17,,,NC,,,,,,,,,,,,
U18,,,VCCO_1,,,1,,,,,any******,,,,
U19,,IOBM,IO_L59P_1,UNUSED,,1,,,,,,,,,
U20,,IOBM,IO_L49P_M1DQ10_1,UNUSED,,1,,,,,,,,,
U21,,,GND,,,,,,,,,,,,
U22,,IOBS,IO_L49N_M1DQ11_1,UNUSED,,1,,,,,,,,,
V1,diff_phase_3<11>,IOB,IO_L34N_M3UDQSN_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
V2,diff_phase_3<10>,IOB,IO_L34P_M3UDQS_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
V3,diff_phase_2<7>,IOB,IO_L8N_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
V4,,,GND,,,,,,,,,,,,
V5,diff_phase_2<6>,IOB,IO_L8P_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
V6,,,VCCAUX,,,,,,,,2.5,,,,
V7,diff_phase_1<4>,IOB,IO_L58P_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
V8,,,VCCO_2,,,2,,,,,2.50,,,,
V9,diff_phase_1<1>,IOB,IO_L50N_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
V10,,,GND,,,,,,,,,,,,
V11,rx3<0>,IOB,IO_L42P_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
V12,,,VCCO_2,,,2,,,,,2.50,,,,
V13,rx2<8>,IOB,IO_L18P_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
V14,,,GND,,,,,,,,,,,,
V15,rx1<7>,IOB,IO_L4N_VREF_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
V16,,,VCCO_2,,,2,,,,,2.50,,,,
V17,rx1<2>,IOB,IO_L2P_CMPCLK_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
V18,,,CMPCS_B_2,,,,,,,,,,,,
V19,,IOBM,IO_L74P_AWAKE_1,UNUSED,,1,,,,,,,,,
V20,,IOBS,IO_L74N_DOUT_BUSY_1,UNUSED,,1,,,,,,,,,
V21,,IOBM,IO_L50P_M1UDQS_1,UNUSED,,1,,,,,,,,,
V22,,IOBS,IO_L50N_M1UDQSN_1,UNUSED,,1,,,,,,,,,
W1,diff_phase_3<9>,IOB,IO_L33N_M3DQ13_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
W2,,,VCCO_3,,,3,,,,,2.50,,,,
W3,diff_phase_3<8>,IOB,IO_L33P_M3DQ12_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
W4,diff_phase_2<2>,IOB,IO_L2P_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
W5,,,VCCO_2,,,2,,,,,2.50,,,,
W6,diff_phase_1<8>,IOB,IO_L60P_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
W7,,,GND,,,,,,,,,,,,
W8,diff_phase_1<5>,IOB,IO_L58N_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
W9,rx3<12>,IOB,IO_L48P_D7_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
W10,rx3<4>,IOB,IO_L44P_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
W11,rx3<1>,IOB,IO_L42N_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
W12,rx4<12>,IOB,IO_L40P_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
W13,rx2<9>,IOB,IO_L18N_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
W14,rx2<12>,IOB,IO_L20P_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
W15,rx2<7>,IOB,IO_L17N_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
W16,,,GND,,,,,,,,,,,,
W17,rx1<8>,IOB,IO_L5P_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
W18,rx1<3>,IOB,IO_L2N_CMPMOSI_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
W19,,,GND,,,,,,,,,,,,
W20,,IOBM,IO_L51P_M1DQ12_1,UNUSED,,1,,,,,,,,,
W21,,,VCCO_1,,,1,,,,,any******,,,,
W22,,IOBS,IO_L51N_M1DQ13_1,UNUSED,,1,,,,,,,,,
Y1,diff_phase_3<7>,IOB,IO_L32N_M3DQ15_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
Y2,diff_phase_3<6>,IOB,IO_L32P_M3DQ14_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
Y3,diff_phase_2<3>,IOB,IO_L2N_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
Y4,diff_phase_1<14>,IOB,IO_L65P_INIT_B_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
Y5,diff_phase_1<10>,IOB,IO_L62P_D5_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
Y6,diff_phase_1<9>,IOB,IO_L60N_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
Y7,rx3<10>,IOB,IO_L47P_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
Y8,rx3<13>,IOB,IO_L48N_RDWR_B_VREF_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
Y9,rx3<2>,IOB,IO_L43P_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
Y10,rx3<5>,IOB,IO_L44N_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
Y11,rx4<10>,IOB,IO_L32P_GCLK29_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
Y12,rx4<13>,IOB,IO_L40N_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
Y13,rx4<6>,IOB,IO_L30P_GCLK1_D13_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
Y14,rx2<13>,IOB,IO_L20N_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
Y15,rx2<14>,IOB,IO_L21P_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
Y16,rx2<6>,IOB,IO_L17P_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
Y17,rx2<2>,IOB,IO_L15P_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
Y18,rx1<9>,IOB,IO_L5N_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
Y19,rx1<14>,IOB,IO_L13P_M1_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
Y20,rx1<0>,IOB,IO_L1P_CCLK_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
Y21,,IOBM,IO_L52P_M1DQ14_1,UNUSED,,1,,,,,,,,,
Y22,,IOBS,IO_L52N_M1DQ15_1,UNUSED,,1,,,,,,,,,

# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# 
#* Default value.
#** This default Pullup/Pulldown value can be overridden in Bitgen. 
#****** Special VCCO requirements may apply. Please consult the device 
#       family datasheet for specific guideline on VCCO requirements. 
#
#
#
